Date,AAPL,AMZN,GOOG,MSFT
2022-08-02,157.0056610107422,134.16000366210938,114.95621490478516,266.473388671875
2022-08-03,163.0107421875,139.52000427246094,117.81275177001953,273.8910217285156
2022-08-04,162.69674682617188,142.57000732421875,117.90203857421875,275.0351867675781
2022-08-05,162.47079467773438,140.8000030517578,117.25732421875,274.31768798828125
2022-08-08,161.99911499023438,139.41000366210938,117.17796325683594,271.8062744140625
2022-08-09,162.04824829101562,137.8300018310547,116.54319763183594,273.7261657714844
2022-08-10,166.2930450439453,142.69000244140625,119.66752624511719,280.37786865234375
2022-08-11,165.55612182617188,140.63999938964844,118.84429168701172,278.3028564453125
2022-08-12,169.1032257080078,143.5500030517578,121.65125274658203,283.0443420410156
2022-08-15,170.1742401123047,143.17999267578125,121.8793716430664,284.5569152832031
2022-08-16,170.01705932617188,144.77999877929688,121.51239776611328,283.82000732421875
2022-08-17,171.51055908203125,142.10000610351562,119.34022521972656,283.0718078613281
2022-08-18,171.11753845214844,142.3000030517578,119.8758316040039,281.954345703125
2022-08-19,168.5333251953125,138.22999572753906,117.15813446044922,278.0482177734375
2022-08-22,164.652099609375,133.22000122070312,114.13298034667969,269.8860778808594
2022-08-23,164.3180389404297,133.6199951171875,113.83541107177734,268.6131286621094
2022-08-24,164.61277770996094,133.8000030517578,113.76598358154297,267.9815673828125
2022-08-25,167.0692901611328,137.27999877929688,116.7415542602539,270.9548645019531
2022-08-26,160.77088928222656,130.75,110.39366912841797,260.49957275390625
2022-08-29,158.5699005126953,129.7899932861328,109.44149780273438,257.7205505371094
2022-08-30,156.1428985595703,128.72999572753906,109.01498413085938,255.52447509765625
2022-08-31,154.4823455810547,126.7699966430664,108.26118469238281,254.0669708251953
2022-09-01,155.20947265625,127.81999969482422,109.6497802734375,253.02723693847656
2022-09-02,153.0968780517578,127.51000213623047,107.79501342773438,248.81015014648438
2022-09-06,151.8391571044922,126.11000061035156,106.60478210449219,246.07972717285156
2022-09-07,153.2442626953125,129.47999572753906,109.58036804199219,250.7826690673828
2022-09-08,151.77040100097656,129.82000732421875,108.52897644042969,251.20046997070312
2022-09-09,154.6297607421875,133.27000427246094,110.86976623535156,256.97222900390625
2022-09-12,160.5841827392578,136.4499969482422,110.95903778076172,259.1003112792969
2022-09-13,151.16119384765625,126.81999969482422,104.45244598388672,244.8553924560547
2022-09-14,152.60557556152344,128.5500030517578,105.00789642333984,245.078857421875
2022-09-15,149.71676635742188,126.27999877929688,103.0539321899414,238.4325408935547
2022-09-16,148.07586669921875,123.52999877929688,102.78611755371094,237.81063842773438
2022-09-19,151.7900390625,124.66000366210938,103.00434112548828,237.59689331054688
2022-09-20,154.16790771484375,122.19000244140625,101.00079345703125,235.5854949951172
2022-09-21,151.0432891845703,118.54000091552734,99.19561767578125,232.18460083007812
2022-09-22,150.08033752441406,117.30999755859375,99.75106048583984,234.15707397460938
2022-09-23,147.81057739257812,113.77999877929688,98.36244201660156,231.18373107910156
2022-09-26,148.1446533203125,115.1500015258789,98.00538635253906,230.72703552246094
2022-09-27,149.11740112304688,114.41000366210938,97.29125213623047,229.71652221679688
2022-09-28,147.23081970214844,118.01000213623047,99.91966247558594,234.2445526123047
2022-09-29,139.9989776611328,114.80000305175781,97.29125213623047,230.775634765625
2022-09-30,135.79351806640625,113.0,95.3670425415039,226.30584716796875
2022-10-03,139.96951293945312,115.87999725341797,98.49138641357422,233.9239044189453
2022-10-04,143.55596923828125,121.08999633789062,101.57606506347656,241.83340454101562
